Category,Item
Appliances,Washer
Appliances,Dryer (clothes)
Appliances,Cook top
Appliances,Freezer
Appliances,Microwave
Appliances,Refrigerator
Appliances,Range (cooker)
Appliances,Air conditioner
Building Materials,Door
Building Materials,Hardware and Tools
Building Materials,Light fixture
Building Materials,Ceiling fan
Building Materials,Lumber
Building Materials,Trim
Building Materials,Plumbing
Building Materials,Electrical equipment
Building Materials,Drywall
Building Materials,Plywood
Building Materials,MDF
Building Materials,Paneling
Building Materials,Bathroom sink (ceramic)
Building Materials,Tiles
Building Materials,Flooring
Building Materials,Windows (not single pane)
Cloth,Towel
Cloth,Linens
Cloth,Sheets
Cloth,Rugs
Cloth,Carpeting
Cloth,Blanket
Clothing,Belt
Clothing,Jewelry
Clothing,Purses
Consumable,Health products
Consumable,Food
Consumable,Beauty products
Decorative,Framed art
Decorative,Picture frames
Decorative,Holiday décor
Electronics,Stereo
Electronics,CD
Electronics,VCR
Electronics,Speaker
Electronics,DVD
Electronics,DVD Player
Electronics,CD Player
Electronics,LP
Electronics,DVR
Electronics,Satellite Receiver
Electronics,Computer
Electronics,Lamp
Electronics,TV (Television)
Exercise Equipment,Treadmill
Exercise Equipment,Weight Bench
Exercise Equipment,Hand Weights
Exercise Equipment,Stationary Bike
Exercise Equipment,Stair Stepper
Exercise Equipment,Bench Weights
Furniture,Mattress
Furniture,Mattress box spring
Furniture,Kitchen table
Furniture,Table
Furniture,Chair
Furniture,Dresser
Furniture,Sofa
Furniture,Couch
Furniture,Cabinet
Hobby,Children’s toys
Hobby,Books
Kitchen,Pots (cooking)
Kitchen,Pans
Kitchen,Dishes
Kitchen,Countertop
Kitchen,Sink (stainless steel)
Outdoor,Garden Tools
Outdoor,Plants
Outdoor,Paver
Outdoor,Pots (for plants)
Outdoor,Soil
Outdoor,Bricks
Outdoor,Planter
Outdoor,Mulch
Electronics,Computer
Electronics,Computer cables
Electronics,Computer monitor
Electronics,Printer
Electronics,Scanner
Electronics,Shredder
Clothing,Shoes
